Date : 2020-07-14 15:46:28
Directory : c:\Users\Selcuk\Desktop\dark-lyst-website
Total : 139 files,  41587 codes, 176 comments, 1597 blanks, all 43360 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     20,855 |          0 |          5 |     20,860 |
| JavaScript |        116 |     20,045 |        163 |      1,523 |     21,731 |
| CSS        |         14 |        632 |         11 |         65 |        708 |
| XML        |          4 |         55 |          2 |          4 |         61 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Selcuk\Desktop\dark-lyst-website\components\layout\Navbar.js                      | JavaScript |        350 |          0 |         30 |        380 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\components\layout\TvDropdown.js                  | JavaScript |        136 |          2 |          6 |        144 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\components\modals\SeasonModal.js                 | JavaScript |        157 |          0 |         17 |        174 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\components\modals\VideoImageModal.js             | JavaScript |         58 |          0 |          4 |         62 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\components\movie\MovieDiscoverForm.js            | JavaScript |        311 |          1 |         23 |        335 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\components\movie\MovieIntro.js                   | JavaScript |        299 |          0 |         41 |        340 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\components\person\PersonIntro.js                 | JavaScript |        217 |          0 |         33 |        250 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\components\show\ShowDiscoverForm.js              | JavaScript |        356 |          2 |         22 |        380 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\components\show\ShowIntro.js                     | JavaScript |        303 |          0 |         41 |        344 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\config\db.js                                     | JavaScript |         16 |          0 |          4 |         20 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\config\logger.js                                 | JavaScript |         54 |          0 |          5 |         59 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\config\redis.js                                  | JavaScript |          7 |          0 |          3 |         10 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\generate-sitemap.js                              | JavaScript |          8 |          0 |          2 |         10 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\jest.config.js                                   | JavaScript |         17 |         18 |          1 |         36 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\jsconfig.json                                    | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\middlewares\auth.js                              | JavaScript |         45 |          0 |          9 |         54 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\models\Movie.js                                  | JavaScript |         29 |          0 |          4 |         33 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\models\Person.js                                 | JavaScript |         39 |          0 |          4 |         43 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\models\Show.js                                   | JavaScript |         30 |          0 |          5 |         35 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\models\User.js                                   | JavaScript |         56 |          0 |          4 |         60 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\next.config.js                                   | JavaScript |         19 |          2 |          2 |         23 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\package-lock.json                                | JSON       |     20,729 |          0 |          1 |     20,730 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\package.json                                     | JSON       |         89 |          0 |          1 |         90 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\404.js                                     | JavaScript |         32 |          0 |          3 |         35 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\_app.js                                    | JavaScript |         51 |         11 |          6 |         68 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\_document.js                               | JavaScript |         91 |          0 |          4 |         95 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\dashboard\[lid].js                         | JavaScript |        194 |          7 |         22 |        223 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\discover\movies.js                         | JavaScript |        216 |          0 |         39 |        255 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\discover\shows.js                          | JavaScript |        252 |          0 |         44 |        296 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\forgot-password.js                         | JavaScript |        122 |          0 |         16 |        138 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\index.js                                   | JavaScript |        289 |          1 |         23 |        313 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\login.js                                   | JavaScript |        180 |          0 |         21 |        201 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\movie\detail\[title]\[pid].js              | JavaScript |        319 |          0 |         28 |        347 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\movies\[slug].js                           | JavaScript |        169 |          0 |         32 |        201 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\person\detail\[name]\[sid].js              | JavaScript |        288 |          0 |         31 |        319 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\privacy-policy.js                          | JavaScript |        640 |          0 |         29 |        669 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\reset-password.js                          | JavaScript |        145 |          1 |         24 |        170 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\show\detail\[title]\[tid].js               | JavaScript |        321 |          0 |         29 |        350 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\shows\[slug].js                            | JavaScript |        172 |          0 |         32 |        204 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\sign-up.js                                 | JavaScript |        173 |          0 |         21 |        194 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\pages\terms-and-conditions.js                    | JavaScript |        468 |          0 |         16 |        484 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\public\favicons\browserconfig.xml                | XML        |          9 |          0 |          1 |         10 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\public\favicons\safari-pinned-tab.svg            | XML        |         26 |          0 |          1 |         27 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\public\favicons\site.webmanifest                 | JSON       |         19 |          0 |          1 |         20 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\public\icons\heart-new.svg                       | XML        |         11 |          1 |          1 |         13 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\public\icons\play.svg                            | XML        |          9 |          1 |          1 |         11 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\public\scripts\googleAnalytics.js                | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\authRoutes.js                         | JavaScript |        531 |          3 |        107 |        641 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\discoverRoutes.js                     | JavaScript |         33 |          1 |         11 |         45 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\heartRoutes.js                        | JavaScript |        195 |          6 |         44 |        245 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\movieRoutes.js                        | JavaScript |         58 |          9 |          7 |         74 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\moviesRoutes.js                       | JavaScript |        143 |         23 |         26 |        192 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\personRoutes.js                       | JavaScript |         52 |          4 |         12 |         68 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\searchRoutes.js                       | JavaScript |         19 |          0 |          4 |         23 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\showRoutes.js                         | JavaScript |         72 |         10 |          8 |         90 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\showsRoutes.js                        | JavaScript |        125 |         10 |         16 |        151 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\server.js                                        | JavaScript |        142 |          4 |         12 |        158 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\sitemap.config.js                                | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\breakpoints.js                               | JavaScript |         34 |          0 |          1 |         35 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\countryList.js                               | JavaScript |        991 |          0 |          1 |        992 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\languageList.js                              | JavaScript |        751 |          0 |          2 |        753 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\movieGenresList.js                           | JavaScript |         78 |          0 |          1 |         79 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\networkIdsList.js                            | JavaScript |      2,371 |          0 |          1 |      2,372 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\seedMovieDetail.js                           | JavaScript |      1,616 |          0 |          2 |      1,618 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\seedMovies.js                                | JavaScript |        351 |          0 |          2 |        353 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\seedShows.js                                 | JavaScript |        326 |          0 |          1 |        327 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\seedTrendHero.js                             | JavaScript |        203 |          0 |          1 |        204 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\showGenresList.js                            | JavaScript |         66 |          0 |          1 |         67 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\theme.js                                     | JavaScript |         40 |          5 |          2 |         47 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\src\yearsList.js                                 | JavaScript |        204 |          0 |          1 |        205 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\alertActions.js                    | JavaScript |         10 |          0 |          4 |         14 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\authActions.js                     | JavaScript |        296 |          1 |         38 |        335 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\movieActions.js                    | JavaScript |         49 |          0 |          8 |         57 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\personActions.js                   | JavaScript |         54 |          0 |          9 |         63 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\showActions.js                     | JavaScript |         49 |          0 |          8 |         57 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\types.js                           | JavaScript |         32 |          0 |          1 |         33 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\alertReducer.js                   | JavaScript |         13 |          0 |          4 |         17 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\authReducer.js                    | JavaScript |        182 |          0 |          6 |        188 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\index.js                          | JavaScript |         13 |          0 |          2 |         15 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\movieReducer.js                   | JavaScript |         39 |          0 |          4 |         43 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\personReducer.js                  | JavaScript |         42 |          0 |          3 |         45 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\showReducer.js                    | JavaScript |         39 |          0 |          4 |         43 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\store\store.js                                   | JavaScript |          8 |          0 |          5 |         13 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\accountStyles.module.css                  | CSS        |          3 |          0 |          1 |          4 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\alertStyles.module.css                    | CSS        |         13 |          0 |          2 |         15 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\carouselStyles.css                        | CSS        |         82 |         11 |          8 |        101 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\changePasswordStyles.module.css           | CSS        |          3 |          0 |          1 |          4 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\formStyles.module.css                     | CSS        |         31 |          0 |          7 |         38 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\loader.module.css                         | CSS        |        116 |          0 |          1 |        117 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\modalStyles.module.css                    | CSS        |         55 |          0 |         11 |         66 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\navDropDownStyles.module.css              | CSS        |         20 |          0 |          4 |         24 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\oauthbuttonsStyles.module.css             | CSS        |          6 |          0 |          1 |          7 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\paginationStyles.module.css               | CSS        |         44 |          0 |         10 |         54 |
