"filename", "language", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Selcuk\Desktop\dark-lyst-website\config\logger.js", "JavaScript", 54, 0, 0, 0, 0, 5, 59
"c:\Users\Selcuk\Desktop\dark-lyst-website\config\redis.js", "JavaScript", 7, 0, 0, 0, 0, 3, 10
"c:\Users\Selcuk\Desktop\dark-lyst-website\generate-sitemap.js", "JavaScript", 8, 0, 0, 0, 0, 2, 10
"c:\Users\Selcuk\Desktop\dark-lyst-website\jest.config.js", "JavaScript", 17, 0, 0, 0, 18, 1, 36
"c:\Users\Selcuk\Desktop\dark-lyst-website\jsconfig.json", "JSON", 0, 5, 0, 0, 0, 1, 6
"c:\Users\Selcuk\Desktop\dark-lyst-website\middlewares\auth.js", "JavaScript", 45, 0, 0, 0, 0, 9, 54
"c:\Users\Selcuk\Desktop\dark-lyst-website\models\Movie.js", "JavaScript", 29, 0, 0, 0, 0, 4, 33
"c:\Users\Selcuk\Desktop\dark-lyst-website\models\Person.js", "JavaScript", 39, 0, 0, 0, 0, 4, 43
"c:\Users\Selcuk\Desktop\dark-lyst-website\models\Show.js", "JavaScript", 30, 0, 0, 0, 0, 5, 35
"c:\Users\Selcuk\Desktop\dark-lyst-website\models\User.js", "JavaScript", 56, 0, 0, 0, 0, 4, 60
"c:\Users\Selcuk\Desktop\dark-lyst-website\next.config.js", "JavaScript", 19, 0, 0, 0, 2, 2, 23
"c:\Users\Selcuk\Desktop\dark-lyst-website\package-lock.json", "JSON", 0, 20729, 0, 0, 0, 1, 20730
"c:\Users\Selcuk\Desktop\dark-lyst-website\package.json", "JSON", 0, 89, 0, 0, 0, 1, 90
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\404.js", "JavaScript", 32, 0, 0, 0, 0, 3, 35
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\_app.js", "JavaScript", 51, 0, 0, 0, 11, 6, 68
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\_document.js", "JavaScript", 91, 0, 0, 0, 0, 4, 95
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\dashboard\[lid].js", "JavaScript", 194, 0, 0, 0, 7, 22, 223
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\discover\movies.js", "JavaScript", 216, 0, 0, 0, 0, 39, 255
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\discover\shows.js", "JavaScript", 252, 0, 0, 0, 0, 44, 296
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\forgot-password.js", "JavaScript", 122, 0, 0, 0, 0, 16, 138
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\index.js", "JavaScript", 289, 0, 0, 0, 1, 23, 313
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\login.js", "JavaScript", 180, 0, 0, 0, 0, 21, 201
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\movie\detail\[title]\[pid].js", "JavaScript", 319, 0, 0, 0, 0, 28, 347
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\movies\[slug].js", "JavaScript", 169, 0, 0, 0, 0, 32, 201
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\person\detail\[name]\[sid].js", "JavaScript", 288, 0, 0, 0, 0, 31, 319
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\privacy-policy.js", "JavaScript", 640, 0, 0, 0, 0, 29, 669
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\reset-password.js", "JavaScript", 145, 0, 0, 0, 1, 24, 170
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\show\detail\[title]\[tid].js", "JavaScript", 321, 0, 0, 0, 0, 29, 350
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\shows\[slug].js", "JavaScript", 172, 0, 0, 0, 0, 32, 204
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\sign-up.js", "JavaScript", 173, 0, 0, 0, 0, 21, 194
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\terms-and-conditions.js", "JavaScript", 468, 0, 0, 0, 0, 16, 484
"c:\Users\Selcuk\Desktop\dark-lyst-website\public\favicons\browserconfig.xml", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Users\Selcuk\Desktop\dark-lyst-website\public\favicons\safari-pinned-tab.svg", "XML", 0, 0, 0, 26, 0, 1, 27
"c:\Users\Selcuk\Desktop\dark-lyst-website\public\favicons\site.webmanifest", "JSON", 0, 19, 0, 0, 0, 1, 20
"c:\Users\Selcuk\Desktop\dark-lyst-website\public\icons\heart-new.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\Users\Selcuk\Desktop\dark-lyst-website\public\icons\play.svg", "XML", 0, 0, 0, 9, 1, 1, 11
"c:\Users\Selcuk\Desktop\dark-lyst-website\public\scripts\googleAnalytics.js", "JavaScript", 6, 0, 0, 0, 0, 2, 8
"c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\authRoutes.js", "JavaScript", 531, 0, 0, 0, 3, 107, 641
"c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\discoverRoutes.js", "JavaScript", 33, 0, 0, 0, 1, 11, 45
"c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\heartRoutes.js", "JavaScript", 195, 0, 0, 0, 6, 44, 245
"c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\movieRoutes.js", "JavaScript", 58, 0, 0, 0, 9, 7, 74
"c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\moviesRoutes.js", "JavaScript", 143, 0, 0, 0, 23, 26, 192
"c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\personRoutes.js", "JavaScript", 52, 0, 0, 0, 4, 12, 68
"c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\searchRoutes.js", "JavaScript", 19, 0, 0, 0, 0, 4, 23
"c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\showRoutes.js", "JavaScript", 72, 0, 0, 0, 10, 8, 90
"c:\Users\Selcuk\Desktop\dark-lyst-website\routes\api\showsRoutes.js", "JavaScript", 125, 0, 0, 0, 10, 16, 151
"c:\Users\Selcuk\Desktop\dark-lyst-website\server.js", "JavaScript", 142, 0, 0, 0, 4, 12, 158
"c:\Users\Selcuk\Desktop\dark-lyst-website\sitemap.config.js", "JavaScript", 25, 0, 0, 0, 0, 1, 26
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\breakpoints.js", "JavaScript", 34, 0, 0, 0, 0, 1, 35
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\countryList.js", "JavaScript", 991, 0, 0, 0, 0, 1, 992
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\languageList.js", "JavaScript", 751, 0, 0, 0, 0, 2, 753
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\movieGenresList.js", "JavaScript", 78, 0, 0, 0, 0, 1, 79
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\networkIdsList.js", "JavaScript", 2371, 0, 0, 0, 0, 1, 2372
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\seedMovieDetail.js", "JavaScript", 1616, 0, 0, 0, 0, 2, 1618
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\seedMovies.js", "JavaScript", 351, 0, 0, 0, 0, 2, 353
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\seedShows.js", "JavaScript", 326, 0, 0, 0, 0, 1, 327
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\seedTrendHero.js", "JavaScript", 203, 0, 0, 0, 0, 1, 204
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\showGenresList.js", "JavaScript", 66, 0, 0, 0, 0, 1, 67
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\theme.js", "JavaScript", 40, 0, 0, 0, 5, 2, 47
"c:\Users\Selcuk\Desktop\dark-lyst-website\src\yearsList.js", "JavaScript", 204, 0, 0, 0, 0, 1, 205
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\alertActions.js", "JavaScript", 10, 0, 0, 0, 0, 4, 14
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\authActions.js", "JavaScript", 296, 0, 0, 0, 1, 38, 335
